Puerta de la ciudadela,,,"-34.90652912347713, -56.20081710216525"
Letras de Montevideo,,,"-34.91042661298877, -56.138624763185724"
Greetingman,,,"-34.89816746821217, -56.1206898021819"
Escollera sarandí,,,"-34.911854264866584, -56.218049762356976"
Obelisco,,,"-34.897418971949975, -56.16437554516146"
Mausoleo,,,"-34.90649767568686, -56.199674700981156"
Fuente de los candados,,,"-34.905699474178846, -56.189154716325156"
Monumento al gaucho,,,"-34.90544098333775, -56.1848454874892"
Fuente del Entrevero,,,"-34.905581349994506, -56.19439437674724"
Monumento a los Últimos Charrúas,,,"-34.859688258500206, -56.20848344516294"
Estatua de Carlos Gardel,,,"-34.905710930820845, -56.18924957567386"
Monumento de la Loba,,,"-34.894258676739966, -56.16465667889688"
Los cuernos de Batlle,,,"-34.86962997791172, -56.16771457399879"
Monumento al inmigrante,,,"-34.88744742741563, -56.251463072370015"
Monumento a Larrañaga,,,"-34.88271507172487, -56.15219401632607"
Plaza Virgilio,,,"-34.89908218982281, -56.08123235847763"
Pista de Patinaje del Parque Rodó,,,"-34.914766791329505, -56.173059104684725"
El Rosedal del Prado,,,"-34.859705047753586, -56.205700929819"
Lago del Parque Rodó,,,"-34.912640027651264, -56.16705092333064"
Los dedos de Punta del Este,,,"-34.95783548667802, -54.93725230283108"
Puente de la Barra,,,"-34.91102561418962, -54.87258430680112"
Puente de Garzón,,,"-34.802216192357044, -54.57261938564141"
Isla Gorriti,,,"-34.9530882931721, -54.97234851182152"
Mirador de la Carrara,,,"-34.71068409209915, -55.261587905086216"
Puerto de Punta del Este,,,"-34.963901670653996, -54.95108352717101"
Mirador de Sauce de Portezuelo,,,"-34.878022271223756, -55.1328708316703"
Calle de los Suspiros,,,"-34.47268492259668, -57.85111155400676"
Gruta de Salamanca,,,"-34.079612577006465, -54.60764338937351"
El águila,,,"-34.77073551748395, -55.77911302231584"
Monumento a la Carreta,,,"-34.89260174805049, -56.155253887213135"
Monumento Nunca Mas,,,"-34.893227676440056, -56.16448633697019"
Monumento a los Campeones del Mundo,,,"-34.892404348043584, -56.15406765579783"
Monumento a Curie,,,"-34.900156504446166, -56.138887920203345"
Monumento a la Madre,,,"-34.89033921594903, -56.185774309734484"
Monumento a Gandhi,,,"-34.922070975495004, -56.15049222832206"
Monumento al Holocausto,,,"-34.92503470955239, -56.17013455912638"
Estatua Lemanja,,,"-34.91401991359734, -56.17324347409755"
Monumento al Viejo Vizcacha,,,"-34.906487293016845, -56.16212295073676"
Monumento a Aparicio Saravia,,,"-34.85763743365151, -56.1962852484012"
Monumento al General de San Martin,,,"-34.875595174369906, -56.19981562077389"
Monumento a la Diligencia,,,"-34.861924961711914, -56.2111977434615"
Monumento a la Tigresa,,,"-34.88288442203528, -56.083143265176695"
Monumento al Mariscal,,,"-34.89757400413018, -56.1204116162455"
